candidate_id,age,gender,education_level,university_tier,years_experience,employment_gap_months,technical_skill_score,communication_score,aptitude_test_score,coding_test_score,project_count,github_activity_score,certifications_count,expected_salary,ai_resume_score,ai_bias_score,hired
CAND_00029,26,Female,Master's,Tier 3,8.2,0.0,65.4,78.0,57.1,49.5,3,61.1,2,105100,35.5,28.1,0
CAND_00030,21,Male,Bachelor's,Tier 3,1.9,0.2,64.9,76.7,57.5,43.6,8,28.0,2,74300,37.5,30.4,0
CAND_00031,27,Female,Bachelor's,Tier 1,1.3,0.1,76.6,63.1,59.0,49.5,8,56.1,2,82700,50.5,47.2,0
CAND_00032,34,Male,Bachelor's,Tier 3,5.0,0.0,79.7,86.4,77.2,47.8,8,70.1,1,107300,50.2,50.0,1
CAND_00033,27,Male,Master's,Tier 3,3.0,0.0,41.2,87.4,62.8,32.2,3,39.9,2,76400,31.0,35.7,0
CAND_00034,29,Female,Master's,Tier 3,2.8,0.0,58.6,87.8,51.6,36.6,5,71.6,2,98800,48.7,47.4,0
CAND_00035,31,Non-Binary,Bachelor's,Tier 3,7.7,0.0,54.5,87.1,48.2,20.0,7,75.8,3,139400,44.4,37.5,0
CAND_00036,23,Female,Bachelor's,Tier 2,2.9,0.0,86.0,79.7,64.7,50.5,5,59.6,3,123700,46.6,42.4,0
CAND_00037,32,Male,Master's,Tier 3,2.5,1.6,65.1,53.6,42.9,51.8,3,25.5,2,68700,30.7,36.0,0
CAND_00038,37,Male,PhD,Tier 2,9.3,0.0,62.0,71.1,55.3,57.4,7,61.4,1,173200,42.3,48.4,0
CAND_00039,28,Female,Master's,Tier 2,8.3,0.2,76.6,93.4,66.4,55.2,2,42.3,4,109100,44.2,50.1,1
CAND_00040,23,Male,PhD,Tier 1,3.0,0.3,63.6,67.4,56.5,39.2,1,27.6,4,69900,25.0,31.8,0
CAND_00041,28,Male,Master's,Tier 3,2.8,1.0,67.8,49.6,47.3,51.5,7,54.8,0,125300,38.5,30.4,0
CAND_00042,21,Male,Master's,Tier 1,0.0,0.0,98.2,79.1,75.5,68.4,3,64.0,1,164100,53.8,55.4,1
CAND_00043,30,Male,Bachelor's,Tier 2,10.8,0.6,93.9,67.9,70.8,73.5,3,50.8,4,250700,54.0,58.8,1
CAND_00044,31,Female,Master's,Tier 2,5.2,0.0,64.5,74.0,50.2,62.2,8,68.7,1,119800,45.5,45.6,0
CAND_00045,37,Male,Master's,Tier 3,6.3,0.0,65.4,64.8,41.1,40.9,6,44.6,0,172300,28.1,24.6,0
CAND_00046,28,Female,Master's,Tier 2,1.0,0.0,62.0,62.0,48.8,65.8,5,55.4,3,59400,41.9,43.8,0
CAND_00047,31,Male,Bachelor's,Tier 2,2.4,7.4,43.4,65.2,39.6,21.9,0,37.6,1,71500,22.9,34.2,0
CAND_00048,24,Female,Bachelor's,Tier 1,0.0,2.4,86.5,57.9,61.1,44.9,3,65.6,0,138600,47.8,53.5,0
CAND_00049,27,Female,Bachelor's,Tier 3,2.4,0.0,100.0,77.4,74.7,70.0,4,75.4,1,122800,53.5,47.8,1
CAND_00050,21,Male,Bachelor's,Tier 3,0.0,0.2,61.8,69.1,48.5,27.9,2,30.8,2,91100,26.6,20.2,0
CAND_00051,28,Non-Binary,Bachelor's,Tier 3,3.8,0.0,56.6,63.2,51.4,35.6,1,49.8,2,105100,35.0,36.0,0
CAND_00052,27,Female,Master's,Tier 2,7.2,1.9,65.7,79.4,61.1,34.7,4,33.7,2,156200,40.3,35.3,0
CAND_00053,30,Female,Bachelor's,Tier 3,6.2,0.2,69.2,75.9,51.0,47.6,4,18.4,2,188500,32.0,35.5,0
CAND_00054,25,Female,Bachelor's,Tier 2,5.6,0.0,53.3,85.8,47.3,39.8,7,58.2,0,112400,41.5,44.2,0
CAND_00055,29,Female,Bachelor's,Tier 2,7.7,0.0,62.3,76.6,58.2,41.7,4,63.5,1,138200,36.7,38.7,0
CAND_00056,27,Female,Master's,Tier 2,1.3,2.1,82.8,91.4,64.4,60.9,4,41.8,1,85000,33.9,26.1,0
CAND_00057,27,Male,Bachelor's,Tier 2,2.1,1.5,72.2,71.1,66.0,50.5,3,40.2,4,86900,47.7,56.4,0
CAND_00058,29,Male,Bachelor's,Tier 3,2.4,0.0,85.8,65.4,59.7,49.9,3,43.5,1,114400,41.3,41.5,0
CAND_00059,29,Male,Master's,Tier 2,6.2,0.4,74.7,80.3,66.8,47.4,5,78.2,1,122900,47.3,50.6,1
CAND_00060,32,Male,Bachelor's,Tier 2,2.2,0.0,52.9,70.1,44.3,28.2,4,59.0,0,62600,39.8,42.6,0
CAND_00061,28,Male,PhD,Tier 2,9.1,6.4,62.7,64.8,47.3,42.6,3,48.5,0,181100,38.0,40.1,0
CAND_00062,27,Male,PhD,Tier 1,2.0,0.0,75.5,84.2,54.4,52.0,2,32.5,1,108800,45.6,55.7,1
CAND_00063,28,Female,Bachelor's,Tier 2,1.0,11.8,54.5,87.7,52.6,41.7,2,31.7,2,79300,40.4,42.1,0
CAND_00064,25,Male,Bachelor's,Tier 2,1.5,0.6,52.2,78.1,46.0,26.3,4,66.5,1,58600,35.3,37.6,1
CAND_00065,27,Male,Master's,Tier 1,2.2,1.3,54.3,68.3,39.4,38.9,9,67.5,1,118200,43.9,48.4,0
CAND_00066,39,Female,Bachelor's,Tier 3,6.1,0.1,75.2,73.1,58.9,47.0,4,53.3,1,114900,40.3,39.4,0
CAND_00067,24,Male,Bachelor's,Tier 3,1.8,2.2,62.9,84.5,66.0,46.3,4,52.5,4,103000,46.6,45.0,1
CAND_00068,27,Female,Bachelor's,Tier 3,7.0,0.0,84.6,89.7,65.0,58.8,3,49.1,1,69100,42.4,44.3,1
CAND_00069,27,Male,PhD,Tier 2,4.0,0.0,54.4,65.4,45.9,47.0,2,53.0,5,84600,34.0,25.7,1
CAND_00070,27,Non-Binary,Bachelor's,Tier 3,0.7,0.0,33.6,68.6,48.8,22.5,8,57.1,2,82500,36.9,36.9,0
CAND_00071,27,Female,Master's,Tier 3,2.2,0.0,66.2,74.4,58.1,22.9,4,39.2,2,96200,44.0,42.9,0
CAND_00072,30,Male,Master's,Tier 3,2.6,3.3,91.1,89.7,69.7,68.1,5,56.7,0,207800,48.1,54.6,1
CAND_00073,21,Male,Bachelor's,Tier 2,1.4,0.0,69.8,83.3,53.1,36.8,4,46.1,4,99300,39.9,38.1,1
CAND_00074,34,Female,Bachelor's,Tier 2,4.9,0.0,51.1,85.7,49.9,42.9,1,32.4,4,117500,43.7,36.0,0
CAND_00075,32,Female,PhD,Tier 3,12.3,0.3,45.3,84.5,44.7,28.1,7,58.0,1,171200,40.3,43.1,0
CAND_00076,22,Female,Bachelor's,Tier 2,4.7,1.4,86.3,81.7,63.0,61.3,3,41.7,2,104200,42.7,43.6,0
CAND_00077,21,Female,Master's,Tier 2,3.2,3.9,58.4,73.3,49.6,53.8,6,39.8,2,90000,43.6,40.5,1
CAND_00078,24,Male,Bachelor's,Tier 2,0.0,0.0,92.6,74.8,64.4,68.7,3,57.3,3,121700,48.2,44.6,0
CAND_00079,27,Male,Bachelor's,Tier 1,6.0,0.0,82.4,88.6,57.9,59.5,3,61.1,2,161100,41.7,46.8,0
CAND_00080,41,Male,Bachelor's,Tier 3,4.2,5.5,57.2,71.9,50.2,44.3,7,59.0,2,61800,43.4,52.9,0
CAND_00081,31,Female,Bachelor's,Tier 2,3.1,1.3,86.9,77.2,62.8,51.9,5,58.8,1,147500,50.4,53.9,1
CAND_00082,21,Female,Bachelor's,Tier 2,0.4,0.0,56.4,74.3,47.9,51.3,3,45.0,0,81600,40.4,38.9,0
CAND_00083,25,Male,Master's,Tier 3,6.3,3.9,47.7,92.5,53.8,29.8,3,39.4,0,64100,32.4,20.6,0
CAND_00084,28,Male,Bachelor's,Tier 2,1.3,5.3,57.0,95.2,55.6,40.7,3,37.0,4,70600,43.2,37.7,0
CAND_00085,30,Male,Bachelor's,Tier 1,3.5,0.5,82.5,59.4,59.3,57.0,1,36.0,3,150800,42.9,45.6,0
CAND_00086,22,Male,Bachelor's,Tier 2,0.0,6.2,84.5,70.4,62.1,48.1,4,60.7,2,82500,51.8,60.2,0
CAND_00087,28,Female,Master's,Tier 3,4.9,6.1,62.5,75.7,53.5,27.1,4,41.0,2,94500,36.6,31.0,0
CAND_00088,25,Female,Bachelor's,Tier 2,1.3,1.6,43.1,91.2,49.4,29.0,8,39.2,2,88900,40.1,38.8,0
CAND_00089,23,Female,Master's,Tier 3,2.3,4.0,46.2,74.1,41.2,41.7,4,46.4,1,70400,30.7,29.6,0
CAND_00090,30,Male,Bachelor's,Tier 2,0.5,1.5,54.0,77.8,54.5,43.7,2,43.8,0,91600,33.5,32.5,0
CAND_00091,32,Male,Bachelor's,Tier 2,2.3,2.1,52.5,94.8,62.0,48.6,6,71.1,0,61800,46.3,55.7,1
CAND_00092,33,Female,Bachelor's,Tier 1,5.4,1.0,74.4,76.4,56.4,71.1,8,66.2,0,160400,55.7,63.5,1
CAND_00093,31,Female,Master's,Tier 2,6.4,0.4,96.2,71.1,70.4,68.1,5,56.0,0,203600,44.6,36.8,1
CAND_00094,26,Female,Bachelor's,Tier 3,8.6,3.4,79.1,69.8,55.8,52.2,5,57.3,1,148100,40.5,32.0,0
CAND_00095,32,Female,Bachelor's,Tier 3,9.5,0.0,52.2,82.5,44.5,34.0,3,40.3,5,119800,30.4,25.4,0
CAND_00096,30,Male,Bachelor's,Tier 2,2.5,2.2,60.1,76.5,48.3,42.4,7,62.7,0,69000,39.5,32.0,0
CAND_00097,29,Female,Master's,Tier 2,4.1,5.0,63.9,74.5,47.7,49.6,3,22.8,4,133700,34.3,37.3,0
CAND_00098,25,Male,Bachelor's,Tier 3,5.0,0.6,73.4,74.1,67.0,43.2,3,40.1,2,116800,49.0,54.7,0
CAND_00099,26,Male,Bachelor's,Tier 2,3.7,0.0,91.2,54.9,57.5,57.6,5,58.9,1,162700,45.7,49.0,0
CAND_00100,29,Male,Bachelor's,Tier 1,2.8,2.2,64.9,73.2,54.2,44.7,6,70.9,0,123000,42.0,43.3,1
CAND_00101,41,Male,Bachelor's,Tier 3,7.8,0.7,89.5,83.3,74.0,72.3,7,84.6,5,211100,55.6,50.3,1
CAND_00102,30,Female,Master's,Tier 2,9.3,4.7,98.2,77.1,64.9,69.8,5,68.1,0,224200,52.7,55.3,1
CAND_00103,25,Male,Master's,Tier 3,2.3,1.1,63.1,82.9,52.6,54.0,4,44.0,0,121900,41.1,37.0,0
CAND_00104,24,Male,Bachelor's,Tier 2,3.8,0.0,63.4,71.7,49.0,47.8,1,42.8,2,105700,36.7,34.0,0
CAND_00105,26,Female,Bachelor's,Tier 3,3.5,0.6,63.0,59.3,43.1,44.1,5,67.7,4,89300,45.8,31.9,0
CAND_00106,39,Male,Bachelor's,Tier 2,5.1,0.1,69.6,71.5,57.9,52.5,4,38.4,4,109400,42.8,33.8,1
CAND_00107,27,Male,Bachelor's,Tier 2,6.8,0.5,62.8,67.2,60.8,44.7,6,52.0,0,102900,36.3,38.5,0
CAND_00108,33,Female,Bachelor's,Tier 2,4.8,0.0,82.8,92.9,75.6,57.9,4,45.6,1,138200,40.2,32.6,1
CAND_00109,27,Male,Master's,Tier 2,2.2,1.6,46.6,71.2,35.8,44.1,7,77.7,2,57000,37.0,36.9,0
CAND_00110,30,Male,PhD,Tier 1,4.7,2.2,63.9,72.1,57.0,55.3,0,27.9,3,140400,37.7,42.3,0
CAND_00111,32,Male,PhD,Tier 2,8.9,0.1,74.9,84.8,71.2,52.8,6,34.5,2,161800,45.3,47.2,1
CAND_00112,26,Male,Master's,Tier 1,3.3,0.2,84.0,83.2,61.6,58.3,4,61.4,0,139500,40.8,50.8,0
CAND_00113,25,Female,Master's,Tier 3,2.9,0.0,98.7,74.3,62.1,81.7,5,77.0,2,107700,44.8,45.0,0
CAND_00114,37,Female,Master's,Tier 2,7.6,4.0,52.6,68.0,53.2,36.2,5,28.1,4,83200,38.5,38.3,0
CAND_00115,33,Female,Bachelor's,Tier 1,7.3,2.5,63.4,68.1,51.9,51.9,3,53.0,2,109400,37.5,29.3,0
CAND_00116,32,Female,Master's,Tier 1,3.9,0.3,42.4,81.1,49.3,37.7,3,21.0,1,97700,34.9,38.0,0
CAND_00117,32,Female,Bachelor's,Tier 1,4.2,5.5,58.1,58.3,46.6,51.5,3,42.5,1,106100,38.7,37.4,0
CAND_00118,31,Male,Bachelor's,Tier 2,3.4,6.2,45.5,63.5,46.6,43.0,4,56.1,1,79900,27.8,29.6,0
CAND_00119,39,Female,Master's,Tier 1,8.2,1.0,63.5,69.4,54.9,45.0,3,56.1,2,145000,39.4,44.9,0
CAND_00120,29,Female,Bachelor's,Tier 3,3.6,2.4,64.8,86.3,59.2,58.0,3,61.7,0,78700,39.5,26.6,1
CAND_00121,31,Female,Bachelor's,Tier 1,4.4,1.7,81.7,80.2,67.6,66.1,5,53.1,2,139000,51.5,44.3,1
CAND_00122,21,Female,PhD,Tier 2,1.5,7.1,65.3,83.4,62.8,42.8,4,52.1,2,61200,42.3,44.9,0
CAND_00123,24,Male,Bachelor's,Tier 3,0.0,1.8,74.6,88.9,66.1,58.8,6,63.1,2,119200,53.1,63.5,1
CAND_00124,22,Male,Bachelor's,Tier 3,3.6,8.0,69.6,82.3,56.4,59.2,1,29.2,1,94300,41.3,49.2,0
CAND_00125,35,Male,PhD,Tier 1,4.7,0.6,56.3,85.5,55.9,33.2,0,29.2,1,175600,34.1,38.3,0
CAND_00126,21,Male,Master's,Tier 3,1.2,1.1,44.4,49.7,39.7,35.1,0,28.0,0,75000,20.0,24.2,0
CAND_00127,26,Female,Bachelor's,Tier 2,1.6,0.0,77.2,74.8,62.0,66.2,2,58.0,1,109200,43.4,44.2,1
CAND_00128,21,Female,Bachelor's,Tier 3,0.0,0.0,91.1,87.7,75.7,59.9,4,61.4,3,155600,46.0,48.3,0
CAND_00129,24,Male,Bachelor's,Tier 2,2.7,3.3,100.0,94.4,81.9,78.7,2,64.6,2,135100,50.2,51.3,1
CAND_00130,26,Male,Master's,Tier 3,4.1,4.9,81.1,75.6,64.0,47.9,3,60.9,3,101700,42.7,38.4,0
CAND_00131,35,Male,Master's,Tier 3,17.6,0.0,88.4,74.8,64.0,51.0,6,44.0,5,280000,54.0,57.9,1
CAND_00132,30,Male,Bachelor's,Tier 2,2.7,2.5,76.4,84.8,66.4,57.3,3,51.3,0,111700,37.8,39.1,0
CAND_00133,24,Male,Bachelor's,Tier 2,4.9,1.5,73.3,93.0,54.3,48.8,3,54.3,2,84700,53.2,58.8,1
CAND_00134,34,Male,Bachelor's,Tier 2,4.4,1.6,69.7,68.5,64.3,66.2,5,59.4,1,75300,48.8,49.4,1
CAND_00135,29,Female,PhD,Tier 1,6.8,1.3,72.2,68.0,68.8,40.4,3,51.7,2,126600,37.1,33.2,0
CAND_00136,29,Male,Bachelor's,Tier 1,5.5,0.0,81.0,69.1,61.8,57.1,5,46.2,4,203800,48.9,51.8,1
CAND_00137,22,Male,Master's,Tier 1,0.3,1.3,64.9,77.4,56.1,43.4,3,42.3,1,102900,46.5,45.2,0
CAND_00138,24,Female,Bachelor's,Tier 2,0.0,0.0,68.5,61.6,53.9,46.6,4,58.7,1,83600,40.3,40.3,0
CAND_00139,24,Male,Master's,Tier 2,0.0,0.3,54.2,73.1,55.4,58.2,2,40.8,1,108200,37.4,41.7,0
CAND_00140,29,Non-Binary,PhD,Tier 2,7.2,6.5,76.7,76.7,69.3,48.7,5,76.6,5,226100,47.6,41.3,0
CAND_00141,29,Non-Binary,Master's,Tier 1,1.8,0.1,59.7,72.7,57.8,36.2,3,62.0,1,103800,38.4,28.4,0
CAND_00142,36,Male,Bachelor's,Tier 2,9.2,0.3,69.0,85.2,70.3,59.3,6,73.0,0,159900,49.9,52.7,1
CAND_00143,30,Male,Master's,Tier 3,4.1,0.0,75.0,78.0,65.8,35.9,4,58.8,0,137200,37.7,34.3,0
CAND_00144,21,Male,Master's,Tier 2,0.6,0.0,77.3,75.2,73.9,56.6,2,32.6,1,130800,35.0,35.4,0
CAND_00145,30,Male,Bachelor's,Tier 2,6.4,1.3,80.6,78.7,68.3,43.1,4,41.8,1,125700,42.9,44.0,0
CAND_00146,21,Male,Master's,Tier 3,0.5,0.3,65.0,84.5,57.7,29.3,5,44.3,1,120800,45.3,43.8,0
CAND_00147,24,Female,Master's,Tier 3,4.2,0.4,74.8,89.6,54.7,51.8,3,40.8,2,77200,43.6,40.3,0
CAND_00148,24,Male,Master's,Tier 2,0.9,0.0,63.1,71.0,52.7,27.5,6,71.7,3,98100,42.3,49.9,0
CAND_00149,25,Male,Master's,Tier 3,7.8,0.0,40.4,79.9,47.2,20.0,4,42.2,3,83800,29.9,27.6,0
CAND_00150,22,Male,Bachelor's,Tier 2,0.0,0.3,76.0,78.5,65.3,47.9,4,67.2,0,78800,42.2,33.7,0
CAND_00151,30,Female,Bachelor's,Tier 3,6.1,2.8,72.2,63.4,53.0,61.5,4,56.5,2,172300,38.0,31.9,0
CAND_00152,21,Male,Bachelor's,Tier 2,5.5,0.0,83.4,55.9,57.0,62.3,5,48.2,4,114900,49.2,52.4,0
CAND_00153,30,Male,PhD,Tier 2,0.4,3.1,66.8,90.1,50.0,46.1,0,46.9,0,94500,32.4,41.2,0
CAND_00154,40,Male,Master's,Tier 1,8.7,0.0,49.9,83.2,59.7,45.3,5,53.0,3,126200,39.4,46.3,0
CAND_00155,22,Non-Binary,Master's,Tier 3,0.0,0.8,66.7,84.6,67.5,20.0,6,82.2,1,90700,46.2,38.7,0
CAND_00156,27,Male,Bachelor's,Tier 2,5.5,0.0,82.2,73.7,67.6,43.4,6,67.5,2,161700,55.7,66.6,1
CAND_00157,21,Female,Bachelor's,Tier 2,2.0,1.2,76.6,75.8,63.9,41.2,7,51.5,0,97200,47.9,46.2,0
CAND_00158,27,Female,Master's,Tier 2,4.7,0.0,65.6,89.5,63.0,56.8,2,42.3,1,141600,40.5,39.9,0
CAND_00159,32,Male,Bachelor's,Tier 3,4.5,0.0,44.7,99.4,55.3,39.3,1,20.8,2,101400,32.8,32.7,0
CAND_00160,32,Female,Bachelor's,Tier 3,9.1,3.6,53.6,74.2,59.2,39.7,2,22.0,5,87400,38.8,36.5,0
CAND_00161,29,Male,Master's,Tier 2,1.1,0.0,76.6,68.5,55.4,68.4,5,41.2,0,112000,34.6,28.3,1
CAND_00162,33,Female,Bachelor's,Tier 2,8.9,0.9,47.3,91.2,43.3,43.0,1,39.9,4,152100,31.0,35.6,0
CAND_00163,41,Female,Bachelor's,Tier 2,6.0,0.0,66.0,81.8,60.5,54.0,10,75.0,1,113700,53.4,48.2,1
CAND_00164,37,Female,Bachelor's,Tier 2,3.0,0.0,69.5,84.6,67.0,41.1,0,11.4,3,106000,35.7,34.5,0
CAND_00165,26,Male,Bachelor's,Tier 3,3.0,1.4,84.1,72.0,63.5,65.9,3,44.2,0,127100,37.4,43.6,0
CAND_00166,21,Female,PhD,Tier 1,0.0,1.2,81.0,86.0,74.0,66.7,11,99.5,0,154000,58.7,59.9,1
CAND_00167,26,Male,Bachelor's,Tier 2,4.2,2.4,82.6,58.6,68.1,71.5,7,71.2,1,169000,48.6,50.0,1
CAND_00168,24,Male,Bachelor's,Tier 2,4.0,0.1,72.6,75.2,61.0,54.7,3,28.1,2,135800,44.6,47.5,0
CAND_00169,31,Male,Bachelor's,Tier 2,3.9,2.9,57.5,74.3,64.0,34.8,4,39.4,1,98300,39.6,38.2,0
CAND_00170,23,Female,Master's,Tier 2,3.5,0.0,62.3,68.2,39.3,42.8,6,66.1,2,122300,42.9,44.0,0
CAND_00171,28,Female,Bachelor's,Tier 2,4.3,1.3,55.5,60.9,41.0,48.9,6,47.7,2,119900,38.3,40.0,0
CAND_00172,33,Male,Master's,Tier 1,5.0,0.0,80.6,79.4,70.1,60.7,3,50.8,1,110700,44.9,55.1,1
CAND_00173,28,Male,Bachelor's,Tier 2,3.0,0.0,58.9,70.2,55.4,33.5,6,45.8,3,50700,36.3,31.2,0
CAND_00174,24,Male,Bachelor's,Tier 2,1.1,2.5,64.9,82.0,54.6,49.2,3,63.9,2,56600,36.3,32.9,0
CAND_00175,34,Female,Bachelor's,Tier 1,13.0,0.8,73.9,90.4,64.3,39.1,9,56.6,3,181300,60.8,64.8,1
CAND_00176,21,Male,Master's,Tier 1,1.3,0.0,96.2,87.2,87.6,70.4,2,27.1,1,142400,48.6,59.4,0
CAND_00177,27,Female,Master's,Tier 3,4.2,1.2,77.2,82.1,71.5,74.3,5,65.1,1,91200,42.2,34.0,1
CAND_00178,28,Male,Bachelor's,Tier 2,5.6,0.0,57.2,63.9,34.8,48.5,5,51.2,5,112400,47.9,61.9,1
CAND_00179,29,Female,Bachelor's,Tier 2,3.1,0.0,70.9,83.8,59.2,47.1,3,72.4,1,104200,47.1,50.1,1
CAND_00180,29,Male,PhD,Tier 3,5.0,1.5,91.1,86.4,71.0,92.7,4,65.7,2,125900,51.1,57.1,1
CAND_00181,32,Male,Bachelor's,Tier 3,11.7,2.4,76.6,68.4,64.2,46.0,7,69.1,1,193800,47.4,46.6,0
CAND_00182,28,Male,Master's,Tier 2,1.8,0.7,47.6,78.6,52.2,23.0,3,41.7,1,58200,33.2,39.2,0
CAND_00183,27,Female,Bachelor's,Tier 2,10.2,0.0,56.2,89.4,63.6,32.4,5,46.3,4,132900,41.9,51.6,0
CAND_00184,26,Female,PhD,Tier 2,5.3,4.2,54.9,87.3,57.5,32.8,6,45.6,3,161700,47.4,38.4,0
CAND_00185,25,Male,Master's,Tier 2,1.2,0.0,90.6,89.4,73.7,77.4,6,58.6,1,107400,51.5,50.4,1
CAND_00186,32,Female,PhD,Tier 2,2.9,3.7,87.6,88.5,74.4,62.1,5,71.3,1,153000,58.7,50.4,1
CAND_00187,25,Female,Master's,Tier 3,9.5,0.3,59.2,89.0,54.6,33.2,3,37.9,4,160000,43.1,35.5,0
CAND_00188,33,Female,Bachelor's,Tier 3,8.5,0.6,58.9,81.6,57.9,34.0,4,63.9,0,109800,40.2,34.5,0
CAND_00189,29,Female,PhD,Tier 1,3.4,2.1,74.2,84.0,73.0,63.3,5,64.4,4,93100,54.5,59.3,1
CAND_00190,26,Male,Bachelor's,Tier 1,1.7,4.9,72.2,64.3,43.6,48.6,5,35.7,2,92100,41.1,42.6,0
CAND_00191,32,Male,Bachelor's,Tier 2,3.3,0.0,55.9,60.8,49.1,32.5,3,43.8,1,97700,27.6,29.5,0
CAND_00192,25,Female,Master's,Tier 2,2.1,0.0,65.2,94.0,48.8,38.5,4,32.8,4,125500,45.0,40.7,0
CAND_00193,32,Female,Master's,Tier 1,4.4,0.0,54.5,74.9,55.5,40.2,2,37.4,7,74800,41.0,43.2,0
CAND_00194,30,Female,PhD,Tier 3,4.6,0.0,85.8,74.7,65.9,55.0,4,61.8,1,111100,49.6,57.2,0
CAND_00195,26,Male,Bachelor's,Tier 2,0.9,5.7,42.9,85.0,54.7,29.8,4,32.6,1,72700,25.5,31.0,0
CAND_00196,31,Male,Master's,Tier 3,2.9,0.0,43.2,78.8,42.3,27.2,3,49.5,1,68300,27.2,27.1,0
CAND_00197,31,Female,Master's,Tier 3,3.8,1.3,74.1,85.4,60.6,51.5,7,38.9,1,161700,44.8,46.6,0
CAND_00198,34,Female,Bachelor's,Tier 3,14.9,1.9,50.7,88.6,60.2,41.3,5,38.3,3,149600,41.2,39.5,1
CAND_00199,33,Female,Bachelor's,Tier 2,5.8,0.7,61.3,98.0,69.4,34.1,3,58.3,1,114400,36.2,31.4,0
CAND_00200,31,Female,Bachelor's,Tier 2,1.8,1.8,71.1,92.6,58.2,56.6,5,59.8,2,76900,40.4,37.3,1
